CODE,n_numeric,suma_numeric,n_total,media_numeric
770-8,4888,134604.83,4888,27.537812627864156
711-2,4888,1868.3998,4888,0.3822421809070044
706-2,4888,14572.598,4888,2.9813006661722588
5905-5,4888,48847.812,4888,9.993414995908347
713-8,4888,21978.803,4888,4.496481737801759
736-9,4888,73447.81,4888,15.026148220130933
731-0,4888,5090.6997,4888,1.041468843500665
742-7,4888,4426.1997,4888,0.9055236716512377
75325-1,0,0.0,3582,
10230-1,3377,157800.14,3377,46.72790661089724
69453-9,0,0.0,2876,
24124-0,0,0.0,2789,
5787-7,2789,5580.702,2789,2.0009688592461456
5821-4,2789,84984.2,2789,30.47120943886698
8247-9,0,0.0,2789,
5769-5,0,0.0,2789,
630-4,0,0.0,2789,
13945-1,2789,5556.501,2789,1.9922914939270349
20570-8,2729,90004.195,2729,32.98065053591059
94531-1,0,0.0,2491,
48065-7,2471,6738.3984,2471,2.7269924878591665
2157-6,2471,123805.88,2471,50.10355435552408
14804-9,2471,672972.56,2471,272.34826487252127
33959-8,2471,332.30002,2471,0.13447997503462034
1988-5,2471,26329.002,2471,10.655201114174423
75893-8,2316,12571.497,2316,5.428107543312824
91146-1,2316,12777.901,2316,5.517228569597366
91145-3,2316,12774.897,2316,5.515931546173359
2857-1,2118,6225.2,2118,2.9391880053411237
32465-7,0,0.0,2118,
X9999-1,0,0.0,1931,
X9999-2,1931,4728.0,1931,2.4484722941481096
19994-3,1930,125794.7,1930,65.17860265544041
72106-8,1904,25560.396,1904,13.424577985491071
38265-5,1642,-1733.4999,1642,-1.0557246516015149
6276-0,1599,284.09998,1599,0.17767353069789713
7258-7,1599,265.2,1599,0.16585366617075126
6273-7,1599,279.9999,1599,0.1751093861458822
6833-8,1599,278.0,1599,0.17385866166353972
6158-0,1599,264.8,1599,0.16560349455470216
6844-5,1599,267.69998,1599,0.1674171242585698
6248-9,1599,273.2999,1599,0.17091925968745114
6246-3,1599,275.4001,1599,0.1722326988425383
6206-7,1599,274.1,1599,0.17141964109037874
6085-5,1599,278.79993,1599,0.17435892855397905
6189-5,1599,279.90002,1599,0.17504691958352878
6095-4,1599,270.89993,1599,0.16941834450364485
6106-9,1599,266.80002,1599,0.1668542953787035
6082-2,1599,277.59998,1599,0.17360849004749063
6075-6,1599,275.09998,1599,0.17204501287425736
29554-3,0,0.0,1555,
65750-2,0,0.0,1486,
33756-8,1438,8203.401,1438,5.7047297407423505
57905-2,1438,62581.395,1438,43.51974584926982
92134-6,0,0.0,1088,
92139-5,0,0.0,1088,
94040-3,0,0.0,1088,
92142-9,0,0.0,1088,
92131-2,0,0.0,1088,
92140-3,0,0.0,1088,
92141-1,0,0.0,1088,
92138-7,0,0.0,1088,
92130-4,0,0.0,1088,
28245-9,0,0.0,1080,
46240-8,1080,5283.4995,1080,4.892129177517361
63513-6,0,0.0,1080,
76690-7,0,0.0,1080,
55277-8,0,0.0,1080,
75636-1,0,0.0,970,
75443-2,902,902.0,902,1.0
20447-9,894,1.3782826e+08,894,154170.30872483223
3184-9,869,120909.48,869,139.13633666570772
80382-5,0,0.0,845,
80383-3,0,0.0,845,
24467-3,831,483820.0,831,582.2141997593261
3016-3,791,2788.3994,791,3.5251572870575223
2021-4,775,33735.51,775,43.52969254032258
2746-6,775,5710.7017,775,7.368647303427419
2027-1,775,986.39984,775,1.2727739887852823
2705-2,775,32552.195,775,42.00283266129032
14627-4,775,19393.9,775,25.024387600806453
84215-3,732,732.0,732,1.0
88040-1,0,0.0,699,
88020-3,0,0.0,686,
21377-7,671,1309.1995,671,1.9511169342632266
71425-3,671,1012.5001,671,1.5089420597173062
2106-3,0,0.0,640,
88021-1,0,0.0,597,
32693-4,541,1199.4999,541,2.21719016253177
46288-7,0,0.0,366,
21908-9,0,0.0,324,
44963-7,0,0.0,284,
88262-1,0,0.0,284,
8478-0,284,21071.7,284,74.1961240096831
85337-4,0,0.0,170,
85318-4,0,0.0,170,
85339-0,0,0.0,170,
21906-3,0,0.0,170,
21907-1,0,0.0,170,
21905-5,0,0.0,170,
85319-2,0,0.0,170,
66524-0,169,3408.9006,169,20.17100967316938
66534-9,169,1785.4003,169,10.56449863050111
66519-0,169,2005.3,169,11.865680762296599
66529-9,169,708.60004,169,4.192899624976886
33728-7,168,440.50012,168,2.6220245361328125
44667-4,0,0.0,154,
59557-9,0,0.0,153,
10480-2,0,0.0,98,
86924-8,89,4258.2,89,47.844946014747194
85352-3,85,0.0,85,0.0
870537001,69,147.0,69,2.130434782608696
271605009,69,282.0,69,4.086956521739131
285285000,69,2206.2002,69,31.973915874094203
3024-7,65,16.099998,65,0.2476922842172476
70006-2,0,0.0,64,
26453-1,49,252.59999,49,5.155101853974012
26515-7,49,14777.799,49,301.5877311862245
26464-8,49,637.39996,49,13.008162517936862
30385-9,49,644.3001,49,13.148981833944516
80271-0,0,0.0,49,
42719-5,49,89.90002,49,1.8346942200952647
85343-2,49,593.49994,49,12.11224365234375
33037-3,49,382.09998,49,7.797958685427296
30428-7,49,4277.3003,49,87.29184271364795
99999-8,47,21.3,47,0.4531914731289478
99999-7,47,23.6,47,0.5021276676908453
99999-6,47,23.5,47,0.5
99999-5,47,22.6,47,0.4808510719461644
99999-3,47,24.7,47,0.5255319311263713
99999-2,47,25.499996,47,0.5425531103255901
99999-11,47,21.9,47,0.46595743869213346
99999-10,47,25.399998,47,0.5404254832166306
99999-9,47,21.500002,47,0.4574468490925241
99999-1,47,23.099997,47,0.49148928865473324
99999-4,47,22.900003,47,0.48723411560058594
85344-0,36,72.2,36,2.0055554707845054
7917-8,0,0.0,34,
26881-3,15,87.0,15,5.8
18752-6,0,0.0,13,
21924-6,0,0.0,9,
71970-8,6,55.3,6,9.216666539510092
71972-4,6,74.1,6,12.34999974568685
22577-1,0,0.0,6,
71980-7,4,84.8,4,21.200000762939453
71976-5,4,70.1,4,17.524999618530273
71977-3,4,60.3,4,15.074999809265137
71979-9,4,44.8,4,11.199999809265137
71978-1,4,28.699999,4,7.174999713897705
71973-2,4,42.0,4,10.5
71974-0,4,34.5,4,8.625
71975-7,4,15.9,4,3.9749999046325684
72009-4,2,19.1,2,9.550000190734863
72010-2,2,9.2,2,4.599999904632568
72012-8,2,10.299999,2,5.149999618530273
72013-6,2,8.9,2,4.449999809265137
72014-4,2,6.8,2,3.4000000953674316
72015-1,2,7.5,2,3.75
72016-9,2,9.299999,2,4.649999618530273
72011-0,2,5.6000004,2,2.8000001907348633
