CODE,n_total,n_numeric,suma_numeric,media_numeric
32693-4,541,541,1199.5,2.2171903881700556
33037-3,49,49,382.1000000000001,7.797959183673471
33728-7,168,168,440.50000000000006,2.6220238095238098
33756-8,1438,1438,8203.4,5.704728789986092
33762-6,7063,7063,7829408.8999999985,1108.510392184624
33914-3,243948,243948,13003105.199999996,53.30277436174921
33959-8,2471,2471,332.3000000000003,0.13447996762444367
34533-0,151085,0,0.0,
38208-5,5489,5489,30186.00000000002,5.499362361085812
38265-5,1642,1642,-1733.5000000000002,-1.0557247259439708
38483-4,210259,210259,550757.2000000015,2.6194227119885545
39156-5,280744,280744,7503076.899999975,26.72568924001929
413077008,14442,14442,438.2999999999996,0.03034898213543828
413078003,14442,14442,438.2999999999996,0.03034898213543828
42719-5,49,49,89.9,1.8346938775510204
44261-6,10802,10802,145295.0,13.450749861136826
44667-4,154,0,0.0,
44963-7,284,0,0.0,
4544-3,72618,72618,3065957.9999999995,42.22035858877963
4548-4,181975,181975,842599.4000000227,4.630303063607763
46240-8,1080,1080,5283.5,4.89212962962963
46288-7,366,0,0.0,
48065-7,2471,2471,6738.400000000001,2.7269931201942534
49765-1,210259,210259,1966955.7000000407,9.354917982107976
54899-0,228799,0,0.0,
55277-8,1080,0,0.0,
55758-7,178024,178024,215659.0,1.211404080348717
56051-6,228799,0,0.0,
56799-0,228799,0,0.0,
5767-9,153527,0,0.0,
5769-5,2789,0,0.0,
5770-3,155647,3341,726.0,0.21730020951810836
5778-6,152306,0,0.0,
5787-7,2789,2789,5580.7,2.00096808892076
57905-2,1438,1438,62581.4,43.519749652294855
5792-7,155095,155095,248989.0,1.6053966923498502
5794-3,158436,3341,0.0,0.0
5797-6,152306,152306,1523777.800000002,10.004712880648182
5799-2,158436,3341,0.0,0.0
5802-4,158436,3341,726.0,0.21730020951810836
5803-2,158436,158436,951364.8000000012,6.004726198591237
5804-0,155095,155095,43666128.10000002,281.5443960153455
5811-5,158436,158436,158436.0,1.0
5821-4,2789,2789,84984.19999999998,30.471208318393682
5902-2,7964,7964,87024.4,10.927222501255649
5905-5,4888,4888,48847.79999999999,9.993412438625203
59460-6,55361,55361,2512961.0,45.39226170047506
59461-4,55361,0,0.0,
59557-9,153,0,0.0,
59576-9,57214,57214,3486204.000000002,60.93270877757195
6075-6,1599,1599,275.1000000000001,0.17204502814258918
6082-2,1599,1599,277.60000000000014,0.17360850531582248
6085-5,1599,1599,278.8000000000001,0.17435897435897443
6095-4,1599,1599,270.9000000000001,0.16941838649155727
6106-9,1599,1599,266.8000000000001,0.16685428392745474
6158-0,1599,1599,264.8000000000001,0.16560350218886813
6189-5,1599,1599,279.9000000000001,0.17504690431519707
6206-7,1599,1599,274.1000000000001,0.17141963727329587
6246-3,1599,1599,275.4000000000001,0.17223264540337715
6248-9,1599,1599,273.3,0.17091932457786116
6273-7,1599,1599,280.0000000000001,0.1751094434021264
6276-0,1599,1599,284.1000000000002,0.177673545966229
6298-4,210259,210259,936558.1000000015,4.454306831098795
6299-2,210259,210259,2842633.200000004,13.519674306450634
630-4,2789,0,0.0,
6301-6,9101,9101,13169.100000000008,1.446994835732338
63512-8,228799,228799,1018308.0,4.450666305359726
63513-6,1080,0,0.0,
63586-2,228799,228799,27008626584.0,118045.2125402646
65750-2,1486,0,0.0,
66519-0,169,169,2005.3000000000002,11.865680473372782
66524-0,169,169,3408.9000000000005,20.171005917159768
66529-9,169,169,708.6000000000001,4.192899408284024
66534-9,169,169,1785.4,10.564497041420118
6690-2,75121,75121,480040.8999999994,6.390235752985176
6768-6,76406,76406,6070495.1999999955,79.45050388712923
67875-5,228799,0,0.0,
6833-8,1599,1599,278.0000000000001,0.17385866166353978
6844-5,1599,1599,267.70000000000016,0.16741713570981873
69453-9,2876,0,0.0,
70006-2,64,0,0.0,
70274-6,121888,121888,419572.0,3.442274875295353
704-7,4888,4888,1372.2000000000003,0.2807283142389526
706-2,4888,4888,14572.599999999995,2.981301145662847
711-2,4888,4888,1868.400000000002,0.38224222585924755
713-8,4888,4888,21978.800000000003,4.496481178396072
71425-3,671,671,1012.5,1.5089418777943369
71490-7,14636,0,0.0,
71491-5,14636,0,0.0,
718-7,75347,75347,1079158.2000000002,14.322510518003373
71802-3,229879,0,0.0,
71970-8,6,6,55.3,9.216666666666667
71972-4,6,6,74.1,12.35
71973-2,4,4,42.0,10.5
71974-0,4,4,34.5,8.625
71975-7,4,4,15.9,3.975
71976-5,4,4,70.1,17.525
71977-3,4,4,60.3,15.075
71978-1,4,4,28.7,7.175
71979-9,4,4,44.8,11.2
71980-7,4,4,84.8,21.2
72009-4,2,2,19.1,9.55
72010-2,2,2,9.2,4.6
72011-0,2,2,5.6,2.8
72012-8,2,2,10.3,5.15
72013-6,2,2,8.9,4.45
72014-4,2,2,6.8,3.4
72015-1,2,2,7.5,3.75
72016-9,2,2,9.3,4.65
72106-8,1904,1904,25560.399999999994,13.42457983193277
72166-2,301694,0,0.0,
72514-3,584224,584224,1835333.0,3.1414885386427125
7258-7,1599,1599,265.20000000000005,0.1658536585365854
731-0,4888,4888,5090.700000000004,1.0414689034369895
736-9,4888,4888,73447.8,15.02614566284779
74006-8,245248,245248,735552.3999999994,2.9992187499999976
742-7,4888,4888,4426.200000000001,0.9055237315875615
751-8,4894,4894,16480.7,3.3675316714344095
75325-1,3582,0,0.0,
75443-2,902,902,902.0,1.0
75626-2,70050,70050,109240.0,1.5594575303354747
75636-1,970,0,0.0,
75893-8,2316,2316,12571.5,5.428108808290156
76437-3,228799,0,0.0,
76501-6,228799,0,0.0,
76504-0,68557,68557,9402.0,0.13714135682716572
76690-7,1080,0,0.0,
770-8,4888,4888,134604.80000000002,27.53780687397709
77606-2,32106,32106,1854646.7000000011,57.766358313087935
777-3,75121,75121,21567811.0,287.10761305094445
785-6,75121,75121,2250474.7999999975,29.957998429200856
786-4,75121,75121,2575641.400000001,34.28656966760295
787-2,75121,75121,6582404.200000002,87.62402257690928
788-0,75121,75121,2674181.899999999,35.59832669959131
789-8,75121,75121,354621.1000000009,4.7206653266064205
7917-8,34,0,0.0,
79818-1,6387,0,0.0,
79819-9,6387,0,0.0,
79892-6,14636,14636,234156.69999999995,15.998681333697728
79893-4,14636,14636,234156.69999999995,15.998681333697728
80271-0,49,0,0.0,
80382-5,845,0,0.0,
80383-3,845,0,0.0,
8247-9,2789,0,0.0,
82589-3,228799,0,0.0,
82667-7,69667,69667,77172.0,1.1077267572882425
82810-3,9269,0,0.0,
8289-1,32106,32106,1690210.9999999988,52.64470815423905
8302-2,302565,302565,47516408.099999204,157.04528977244297
8310-5,24790,24790,947509.1000000006,38.22142396127473
84215-3,732,732,732.0,1.0
8462-4,332352,332352,26098019.600000005,78.52523709801658
8478-0,284,284,21071.7,74.19612676056339
8480-6,332352,332352,38832125.1,116.84035330011554
85318-4,170,0,0.0,
85319-2,170,0,0.0,
85337-4,170,0,0.0,
85339-0,170,0,0.0,
85343-2,49,49,593.5,12.112244897959183
85344-0,36,36,72.20000000000002,2.005555555555556
85352-3,85,85,0.0,0.0
86924-8,89,89,4258.2,47.844943820224714
870537001,69,69,147.0,2.130434782608696
88020-3,686,0,0.0,
88021-1,597,0,0.0,
88040-1,699,0,0.0,
88262-1,284,0,0.0,
8867-4,308985,308985,25009577.200000007,80.94107222033435
89204-2,15354,15354,49954.0,3.253484434023707
89579-7,11144,11144,82938.4,7.4424264178033015
91145-3,2316,2316,12774.9,5.515932642487046
91146-1,2316,2316,12777.900000000001,5.517227979274612
92130-4,1088,0,0.0,
92131-2,1088,0,0.0,
92134-6,1088,0,0.0,
92138-7,1088,0,0.0,
92139-5,1088,0,0.0,
92140-3,1088,0,0.0,
92141-1,1088,0,0.0,
92142-9,1088,0,0.0,
9279-1,308985,308985,4402836.500000001,14.249353528488442
93026-3,228799,0,0.0,
93027-1,228799,0,0.0,
93028-9,228799,0,0.0,
93029-7,228799,0,0.0,
93030-5,228799,0,0.0,
93031-3,228799,0,0.0,
93033-9,228799,0,0.0,
93034-7,228799,0,0.0,
93035-4,228799,0,0.0,
93038-8,228799,0,0.0,
94040-3,1088,0,0.0,
94531-1,2491,0,0.0,
9843-4,32106,32106,1455327.700000001,45.32883884632159
99999-1,47,47,23.1,0.4914893617021277
99999-10,47,47,25.400000000000002,0.5404255319148936
99999-11,47,47,21.900000000000002,0.4659574468085107
99999-2,47,47,25.499999999999996,0.5425531914893617
99999-3,47,47,24.700000000000003,0.5255319148936171
99999-4,47,47,22.9,0.48723404255319147
99999-5,47,47,22.599999999999998,0.4808510638297872
99999-6,47,47,23.5,0.5
99999-7,47,47,23.6,0.5021276595744681
99999-8,47,47,21.300000000000004,0.4531914893617022
99999-9,47,47,21.500000000000004,0.45744680851063835
DALY,208492,208492,323723.99999999383,1.5526926692630596
QALY,208492,208492,7327941.000000246,35.147348579323165
QOLS,208492,208492,194233.09999999913,0.9316093663066167
X9999-1,1931,0,0.0,
X9999-2,1931,1931,4728.0,2.4484722941481096
