CODE,n_total,n_numeric,suma_numeric,media_numeric
29554-3,1555,0,0.0,
3016-3,791,791,2788.3999999999996,3.5251580278128944
3024-7,65,65,16.099999999999998,0.2476923076923076
30385-9,49,49,644.3,13.148979591836731
30428-7,49,49,4277.3,87.29183673469389
3094-0,132208,132208,1788384.1000000015,13.52704904393079
3173-2,6164,6164,199085.4,32.298085658663204
3184-9,869,869,120909.5,139.13636363636363
32167-9,152306,0,0.0,
32207-3,57040,57040,19069357.5,334.3155241935484
32465-7,2118,0,0.0,
32623-1,57040,57040,618969.2000000001,10.851493688639552
32624-9,228799,0,0.0,
32693-4,541,541,1199.5000000000005,2.217190388170056
33037-3,49,49,382.1,7.79795918367347
33728-7,168,168,440.49999999999994,2.6220238095238093
33756-8,1438,1438,8203.399999999998,5.70472878998609
33762-6,7063,7063,7829408.9,1108.5103921846242
33914-3,243948,243948,13003105.199999992,53.302774361749194
33959-8,2471,2471,332.29999999999984,0.1344799676244434
34533-0,151085,0,0.0,
38208-5,5489,5489,30186.0,5.499362361085808
38265-5,1642,1642,-1733.4999999999998,-1.0557247259439706
38483-4,210259,210259,550757.1999999996,2.6194227119885456
39156-5,280744,280744,7503076.899999998,26.725689240019367
413077008,14442,14442,438.2999999999999,0.0303489821354383
413078003,14442,14442,438.2999999999999,0.0303489821354383
42719-5,49,49,89.89999999999999,1.83469387755102
44261-6,10802,10802,145295.0,13.450749861136826
44667-4,154,0,0.0,
44963-7,284,0,0.0,
4544-3,72618,72618,3065957.999999999,42.220358588779625
4548-4,181975,181975,842599.4000000046,4.630303063607664
46240-8,1080,1080,5283.500000000001,4.892129629629631
46288-7,366,0,0.0,
48065-7,2471,2471,6738.4,2.726993120194253
49765-1,210259,210259,1966955.699999996,9.35491798210776
54899-0,228799,0,0.0,
55277-8,1080,0,0.0,
55758-7,178024,178024,215659.0,1.211404080348717
56051-6,228799,0,0.0,
56799-0,228799,0,0.0,
5767-9,153527,0,0.0,
5769-5,2789,0,0.0,
5770-3,155647,3341,726.0,0.2173002095181083
5778-6,152306,0,0.0,
5787-7,2789,2789,5580.700000000001,2.0009680889207604
57905-2,1438,1438,62581.39999999999,43.51974965229485
5792-7,155095,155095,248988.99999999985,1.605396692349849
5794-3,158436,3341,0.0,0.0
5797-6,152306,152306,1523777.8,10.004712880648167
5799-2,158436,3341,0.0,0.0
5802-4,158436,3341,726.0,0.2173002095181083
5803-2,158436,158436,951364.8000000002,6.00472619859123
5804-0,155095,155095,43666128.10000002,281.5443960153455
5811-5,158436,158436,158436.0,1.0
5821-4,2789,2789,84984.2,30.47120831839369
5902-2,7964,7964,87024.40000000001,10.92722250125565
5905-5,4888,4888,48847.8,9.993412438625205
59460-6,55361,55361,2512961.0,45.39226170047506
59461-4,55361,0,0.0,
59557-9,153,0,0.0,
59576-9,57214,57214,3486203.9999999995,60.93270877757192
6075-6,1599,1599,275.0999999999999,0.172045028142589
6082-2,1599,1599,277.5999999999999,0.1736085053158223
6085-5,1599,1599,278.7999999999999,0.1743589743589743
6095-4,1599,1599,270.89999999999986,0.1694183864915571
6106-9,1599,1599,266.7999999999999,0.1668542839274546
6158-0,1599,1599,264.79999999999995,0.165603502188868
6189-5,1599,1599,279.8999999999999,0.1750469043151969
6206-7,1599,1599,274.09999999999997,0.1714196372732958
6246-3,1599,1599,275.39999999999986,0.172232645403377
6248-9,1599,1599,273.29999999999984,0.170919324577861
6273-7,1599,1599,279.99999999999994,0.1751094434021262
6276-0,1599,1599,284.0999999999999,0.1776735459662288
6298-4,210259,210259,936558.099999999,4.4543068310987834
6299-2,210259,210259,2842633.2000000007,13.519674306450618
630-4,2789,0,0.0,
6301-6,9101,9101,13169.100000000002,1.4469948357323374
63512-8,228799,228799,1018308.0,4.450666305359726
63513-6,1080,0,0.0,
63586-2,228799,228799,27008626584.0,118045.2125402646
65750-2,1486,0,0.0,
66519-0,169,169,2005.2999999999995,11.86568047337278
66524-0,169,169,3408.9,20.171005917159764
66529-9,169,169,708.6,4.192899408284024
66534-9,169,169,1785.4,10.564497041420118
6690-2,75121,75121,480040.9,6.390235752985183
6768-6,76406,76406,6070495.199999997,79.45050388712924
67875-5,228799,0,0.0,
6833-8,1599,1599,277.9999999999999,0.1738586616635396
6844-5,1599,1599,267.6999999999998,0.1674171357098185
69453-9,2876,0,0.0,
70006-2,64,0,0.0,
70274-6,121888,121888,419572.0,3.442274875295353
704-7,4888,4888,1372.1999999999985,0.2807283142389522
706-2,4888,4888,14572.600000000002,2.981301145662848
711-2,4888,4888,1868.3999999999992,0.382242225859247
713-8,4888,4888,21978.799999999992,4.4964811783960705
71425-3,671,671,1012.5,1.5089418777943369
71490-7,14636,0,0.0,
71491-5,14636,0,0.0,
718-7,75347,75347,1079158.1999999995,14.322510518003368
71802-3,229879,0,0.0,
71970-8,6,6,55.3,9.216666666666669
71972-4,6,6,74.1,12.35
71973-2,4,4,42.0,10.5
71974-0,4,4,34.5,8.625
71975-7,4,4,15.9,3.975
71976-5,4,4,70.1,17.525
71977-3,4,4,60.3,15.075
71978-1,4,4,28.7,7.175
71979-9,4,4,44.8,11.2
71980-7,4,4,84.8,21.2
72009-4,2,2,19.1,9.55
72010-2,2,2,9.2,4.6
72011-0,2,2,5.6,2.8
72012-8,2,2,10.3,5.15
72013-6,2,2,8.9,4.45
72014-4,2,2,6.8,3.4
72015-1,2,2,7.5,3.75
72016-9,2,2,9.3,4.65
72106-8,1904,1904,25560.4,13.424579831932776
72166-2,301694,0,0.0,
72514-3,584224,584224,1835333.0,3.1414885386427125
7258-7,1599,1599,265.19999999999993,0.1658536585365853
731-0,4888,4888,5090.699999999998,1.0414689034369882
736-9,4888,4888,73447.79999999999,15.026145662847789
74006-8,245248,245248,735552.3999999998,2.999218749999999
742-7,4888,4888,4426.199999999999,0.9055237315875612
751-8,4894,4894,16480.699999999997,3.367531671434409
75325-1,3582,0,0.0,
75443-2,902,902,902.0,1.0
75626-2,70050,70050,109240.0,1.5594575303354747
75636-1,970,0,0.0,
75893-8,2316,2316,12571.5,5.428108808290156
76437-3,228799,0,0.0,
76501-6,228799,0,0.0,
76504-0,68557,68557,9402.0,0.1371413568271657
76690-7,1080,0,0.0,
770-8,4888,4888,134604.80000000002,27.53780687397709
77606-2,32106,32106,1854646.7000000011,57.766358313087935
777-3,75121,75121,21567810.999999996,287.10761305094445
785-6,75121,75121,2250474.799999999,29.95799842920087
786-4,75121,75121,2575641.4,34.28656966760293
787-2,75121,75121,6582404.199999999,87.62402257690924
788-0,75121,75121,2674181.899999999,35.59832669959131
789-8,75121,75121,354621.09999999945,4.720665326606401
7917-8,34,0,0.0,
79818-1,6387,0,0.0,
79819-9,6387,0,0.0,
79892-6,14636,14636,234156.7,15.998681333697732
79893-4,14636,14636,234156.7,15.998681333697732
80271-0,49,0,0.0,
80382-5,845,0,0.0,
80383-3,845,0,0.0,
8247-9,2789,0,0.0,
82589-3,228799,0,0.0,
82667-7,69667,69667,77172.0,1.1077267572882423
82810-3,9269,0,0.0,
8289-1,32106,32106,1690210.9999999998,52.64470815423907
8302-2,302565,302565,47516408.10000039,157.04528977244686
8310-5,24790,24790,947509.1,38.2214239612747
84215-3,732,732,732.0,1.0
8462-4,332352,332352,26098019.600000005,78.52523709801658
8478-0,284,284,21071.7,74.19612676056339
8480-6,332352,332352,38832125.10000001,116.84035330011557
85318-4,170,0,0.0,
85319-2,170,0,0.0,
85337-4,170,0,0.0,
85339-0,170,0,0.0,
85343-2,49,49,593.5000000000001,12.112244897959188
85344-0,36,36,72.19999999999997,2.005555555555554
85352-3,85,85,0.0,0.0
86924-8,89,89,4258.2,47.844943820224714
870537001,69,69,147.0,2.130434782608696
88020-3,686,0,0.0,
88021-1,597,0,0.0,
88040-1,699,0,0.0,
88262-1,284,0,0.0,
8867-4,308985,308985,25009577.199999996,80.9410722203343
89204-2,15354,15354,49954.0,3.253484434023707
89579-7,11144,11144,82938.40000000001,7.442426417803303
91145-3,2316,2316,12774.9,5.515932642487047
91146-1,2316,2316,12777.9,5.517227979274611
92130-4,1088,0,0.0,
92131-2,1088,0,0.0,
92134-6,1088,0,0.0,
92138-7,1088,0,0.0,
92139-5,1088,0,0.0,
92140-3,1088,0,0.0,
92141-1,1088,0,0.0,
92142-9,1088,0,0.0,
9279-1,308985,308985,4402836.499999999,14.249353528488436
93026-3,228799,0,0.0,
93027-1,228799,0,0.0,
93028-9,228799,0,0.0,
93029-7,228799,0,0.0,
93030-5,228799,0,0.0,
93031-3,228799,0,0.0,
93033-9,228799,0,0.0,
93034-7,228799,0,0.0,
93035-4,228799,0,0.0,
93038-8,228799,0,0.0,
94040-3,1088,0,0.0,
94531-1,2491,0,0.0,
9843-4,32106,32106,1455327.700000001,45.32883884632159
99999-1,47,47,23.1,0.4914893617021277
99999-10,47,47,25.399999999999995,0.5404255319148935
99999-11,47,47,21.9,0.4659574468085107
99999-2,47,47,25.5,0.5425531914893617
99999-3,47,47,24.700000000000003,0.5255319148936171
99999-4,47,47,22.9,0.4872340425531914
99999-5,47,47,22.6,0.4808510638297872
99999-6,47,47,23.5,0.5
99999-7,47,47,23.600000000000005,0.5021276595744681
99999-8,47,47,21.3,0.4531914893617021
99999-9,47,47,21.5,0.4574468085106383
DALY,208492,208492,323724.0000000061,1.5526926692631184
QALY,208492,208492,7327940.999999973,35.14734857932186
QOLS,208492,208492,194233.0999999994,0.931609366306618
X9999-1,1931,0,0.0,
X9999-2,1931,1931,4728.0,2.4484722941481096
