CODE,n_numeric,suma_numeric,n_total,media_numeric
6106-9,1599,266.79999999999865,1599,0.1668542839274538
6158-0,1599,264.7999999999985,1599,0.1656035021888671
6189-5,1599,279.89999999999907,1599,0.17504690431519643
6206-7,1599,274.09999999999866,1599,0.17141963727329498
6246-3,1599,275.3999999999987,1599,0.17223264540337632
6248-9,1599,273.29999999999905,1599,0.17091932457786058
6273-7,1599,279.9999999999992,1599,0.17510944340212584
6276-0,1599,284.1000000000002,1599,0.177673545966229
6298-4,210259,936558.0999999951,210259,4.454306831098764
6299-2,210259,2842633.200000017,210259,13.519674306450696
630-4,0,0.0,2789,
6301-6,9101,13169.100000000117,9101,1.4469948357323499
63512-8,228799,1018308.0,228799,4.450666305359726
63513-6,0,0.0,1080,
63586-2,228799,27008626584.0,228799,118045.2125402646
65750-2,0,0.0,1486,
66519-0,169,2005.2999999999995,169,11.865680473372779
66524-0,169,3408.900000000001,169,20.171005917159768
66529-9,169,708.5999999999998,169,4.192899408284022
66534-9,169,1785.3999999999992,169,10.564497041420113
6690-2,75121,480040.8999999915,75121,6.390235752985071
6768-6,76406,6070495.199999914,76406,79.45050388712815
67875-5,0,0.0,228799,
6833-8,1599,277.9999999999989,1599,0.17385866166353903
6844-5,1599,267.69999999999897,1599,0.16741713570981798
69453-9,0,0.0,2876,
70006-2,0,0.0,64,
70274-6,121888,419572.0,121888,3.442274875295353
704-7,4888,1372.1999999999846,4888,0.2807283142389494
706-2,4888,14572.599999999995,4888,2.981301145662847
711-2,4888,1868.399999999998,4888,0.3822422258592467
713-8,4888,21978.800000000072,4888,4.4964811783960865
71425-3,671,1012.4999999999999,671,1.5089418777943366
71490-7,0,0.0,14636,
71491-5,0,0.0,14636,
718-7,75347,1079158.1999999983,75347,14.322510518003348
71802-3,0,0.0,229879,
71970-8,6,55.3,6,9.216666666666667
71972-4,6,74.1,6,12.35
71973-2,4,42.0,4,10.5
71974-0,4,34.5,4,8.625
71975-7,4,15.9,4,3.975
71976-5,4,70.1,4,17.525
71977-3,4,60.3,4,15.075
71978-1,4,28.7,4,7.175
71979-9,4,44.8,4,11.2
71980-7,4,84.8,4,21.2
72009-4,2,19.1,2,9.55
72010-2,2,9.2,2,4.6
72011-0,2,5.6,2,2.8
72012-8,2,10.3,2,5.15
72013-6,2,8.9,2,4.45
72014-4,2,6.8,2,3.4
72015-1,2,7.5,2,3.75
72016-9,2,9.3,2,4.65
72106-8,1904,25560.400000000005,1904,13.424579831932776
72166-2,0,0.0,301694,
72514-3,584224,1835333.0,584224,3.1414885386427125
7258-7,1599,265.19999999999817,1599,0.1658536585365842
731-0,4888,5090.700000000016,4888,1.041468903436992
736-9,4888,73447.79999999993,4888,15.026145662847776
74006-8,245248,735552.3999999902,245248,2.9992187499999603
742-7,4888,4426.199999999968,4888,0.9055237315875548
751-8,4894,16480.69999999994,4894,3.367531671434397
75325-1,0,0.0,3582,
75443-2,902,902.0,902,1.0
75626-2,70050,109240.0,70050,1.5594575303354747
75636-1,0,0.0,970,
75893-8,2316,12571.499999999998,2316,5.428108808290155
76437-3,0,0.0,228799,
76501-6,0,0.0,228799,
76504-0,68557,9402.0,68557,0.13714135682716572
76690-7,0,0.0,1080,
770-8,4888,134604.79999999973,4888,27.53780687397703
77606-2,32106,1854646.7000000267,32106,57.76635831308873
777-3,75121,21567811.000000246,75121,287.10761305094775
785-6,75121,2250474.799999944,75121,29.957998429200142
786-4,75121,2575641.4000000074,75121,34.28656966760303
787-2,75121,6582404.200000012,75121,87.62402257690941
788-0,75121,2674181.8999999748,75121,35.59832669959099
789-8,75121,354621.10000000487,75121,4.720665326606473
7917-8,0,0.0,34,
79818-1,0,0.0,6387,
79819-9,0,0.0,6387,
79892-6,14636,234156.69999999998,14636,15.99868133369773
79893-4,14636,234156.69999999998,14636,15.99868133369773
80271-0,0,0.0,49,
80382-5,0,0.0,845,
80383-3,0,0.0,845,
8247-9,0,0.0,2789,
82589-3,0,0.0,228799,
82667-7,69667,77172.0,69667,1.1077267572882425
82810-3,0,0.0,9269,
8289-1,32106,1690211.0,32106,52.64470815423908
8302-2,302565,47516408.09999387,302565,157.04528977242532
8310-5,24790,947509.1000000071,24790,38.22142396127499
84215-3,732,732.0,732,1.0
8462-4,332352,26098019.60000002,332352,78.52523709801662
8478-0,284,21071.700000000015,284,74.19612676056343
8480-6,332352,38832125.09999995,332352,116.84035330011538
85318-4,0,0.0,170,
85319-2,0,0.0,170,
85337-4,0,0.0,170,
85339-0,0,0.0,170,
85343-2,49,593.5000000000002,49,12.112244897959188
85344-0,36,72.2,36,2.0055555555555555
85352-3,85,0.0,85,0.0
86924-8,89,4258.2,89,47.844943820224714
870537001,69,147.0,69,2.130434782608696
88020-3,0,0.0,686,
88021-1,0,0.0,597,
88040-1,0,0.0,699,
88262-1,0,0.0,284,
8867-4,308985,25009577.200000066,308985,80.94107222033453
89204-2,15354,49954.0,15354,3.253484434023707
89579-7,11144,82938.4,11144,7.4424264178033015
91145-3,2316,12774.899999999996,2316,5.515932642487045
91146-1,2316,12777.900000000016,2316,5.517227979274618
92130-4,0,0.0,1088,
92131-2,0,0.0,1088,
92134-6,0,0.0,1088,
92138-7,0,0.0,1088,
92139-5,0,0.0,1088,
92140-3,0,0.0,1088,
92141-1,0,0.0,1088,
92142-9,0,0.0,1088,
9279-1,308985,4402836.500000014,308985,14.249353528488482
93026-3,0,0.0,228799,
93027-1,0,0.0,228799,
93028-9,0,0.0,228799,
93029-7,0,0.0,228799,
93030-5,0,0.0,228799,
93031-3,0,0.0,228799,
93033-9,0,0.0,228799,
93034-7,0,0.0,228799,
93035-4,0,0.0,228799,
93038-8,0,0.0,228799,
94040-3,0,0.0,1088,
94531-1,0,0.0,2491,
9843-4,32106,1455327.7000000018,32106,45.32883884632162
99999-1,47,23.099999999999998,47,0.4914893617021276
99999-10,47,25.4,47,0.5404255319148936
99999-11,47,21.899999999999995,47,0.46595744680851053
99999-2,47,25.50000000000001,47,0.5425531914893619
99999-3,47,24.700000000000014,47,0.5255319148936173
99999-4,47,22.9,47,0.48723404255319147
99999-5,47,22.599999999999998,47,0.4808510638297872
99999-6,47,23.499999999999996,47,0.49999999999999994
99999-7,47,23.59999999999999,47,0.5021276595744679
99999-8,47,21.299999999999994,47,0.453191489361702
99999-9,47,21.499999999999996,47,0.45744680851063824
DALY,208492,323724.000000014,208492,1.5526926692631564
QALY,208492,7327941.000001879,208492,35.147348579331
QOLS,208492,194233.0999999841,208492,0.9316093663065446
X9999-1,0,0.0,1931,
X9999-2,1931,4728.0,1931,2.4484722941481096
